LASK,LBID,NEWDAY,PCHANGE,PCHANGE0,RETURN,SIGN_VOL,VOLUME,INDICATOR
3.80666249,3.804660487,0,0,0,-0.001222698,-4.605170186,100,-1
3.80488313,3.803323589,0,1,1,-0.001558326,-4.605170186,100,-1
3.80488313,3.803323589,0,1,2,0,4.605170186,100,1
3.806440243,3.804660487,0,0,0,0.001447098,-5.298317367,200,-1
3.80488313,3.804660487,0,1,1,-0.000778946,-4.605170186,100,-1
3.80488313,3.804660487,0,1,1,0,-4.605170186,100,-1
3.80488313,3.804660487,0,1,2,0,-4.605170186,100,-1
3.805328267,3.804660487,0,1,1,0.000222618,-4.605170186,100,-1
3.805328267,3.804660487,0,1,2,0,-4.605170186,100,-1
3.805995601,3.804437795,0,1,2,0.000222568,4.605170186,100,1
3.806217947,3.805105723,0,1,2,0.000444988,4.605170186,100,1
3.807106835,3.805328267,0,0,0,0.000555957,-4.605170186,100,-1
3.806440243,3.805105723,0,1,2,-0.000444741,4.605170186,100,1
3.806440243,3.805773206,0,1,1,0.000333574,4.605170186,100,1
3.806440243,3.805773206,0,0,0,0,4.605170186,100,1
3.806217947,3.80488313,0,1,2,-0.000556019,4.605170186,100,1
3.806884687,3.805773206,0,1,1,0.00077834,-4.605170186,100,-1
3.806884687,3.805773206,0,0,0,0,-4.605170186,100,-1
3.806440243,3.804437795,0,1,2,-0.000889581,4.605170186,100,1
3.807772984,3.805773206,0,1,1,0.001334075,-4.605170186,100,-1
3.807772984,3.805773206,0,1,1,0,-4.605170186,100,-1
3.807772984,3.805773206,0,1,1,0,5.298317367,200,1
3.807772984,3.805773206,0,1,2,0,4.605170186,100,1
3.808660492,3.80666249,0,1,1,0.000888395,4.605170186,100,1
3.808660492,3.80666249,0,1,1,0,4.605170186,100,1
3.808660492,3.80666249,0,0,0,0,-5.298317367,200,-1
3.807994935,3.806884687,0,0,0,-0.000222025,4.605170186,100,1
3.807994935,3.806440243,0,1,2,-0.000222074,4.605170186,100,1
3.808660492,3.80666249,0,1,2,0.000444099,4.605170186,100,1
3.809103951,3.80666249,0,1,2,0.000221976,4.605170186,100,1
3.809768771,3.807550984,0,1,2,0.000776527,4.605170186,100,1
3.811097087,3.809547214,0,1,1,0.001661958,-4.605170186,100,-1
3.811097087,3.809547214,0,1,1,0,-4.605170186,100,-1
3.811097087,3.809547214,0,1,2,0,4.605170186,100,1
3.811539467,3.80999028,0,0,0,0.000442723,-4.605170186,100,-1
3.811097087,3.80999028,0,1,2,-0.000221337,-4.605170186,100,-1
3.81242364,3.81043315,0,1,2,0.000885054,-5.298317367,200,-1
3.813969065,3.81220267,0,0,0,0.001657367,-4.605170186,100,-1
3.813969065,3.811981651,0,1,2,-0.000110406,-4.605170186,100,-1
3.814410177,3.813527759,0,0,0,0.000993213,4.605170186,100,1
3.814410177,3.813307032,0,0,0,-0.000110308,-4.605170186,100,-1
3.813969065,3.81242364,0,1,2,-0.000662106,4.605170186,100,1
3.814410177,3.81242364,0,1,2,0.000220751,4.605170186,100,1
3.814410177,3.813748436,0,1,1,0.000661959,4.605170186,100,1
3.815071479,3.813086258,0,0,0,0,-4.605170186,100,-1
3.812865434,3.81220267,0,1,2,-0.001545254,4.605170186,100,1
3.814851094,3.812644561,0,1,1,0.001214329,-4.605170186,100,-1
3.814851094,3.812644561,0,0,0,0,-4.605170186,100,-1
3.813969065,3.812644561,0,1,1,-0.000441404,-4.605170186,100,-1
3.813969065,3.812644561,0,0,0,0,-5.298317367,200,-1
3.813748436,3.811760583,0,1,1,-0.000552029,4.605170186,100,1
3.813748436,3.811760583,0,0,0,0,-4.605170186,100,-1
3.813307032,3.811760583,0,1,2,-0.000220897,-4.605170186,100,-1
3.813527759,3.811981651,0,1,2,0.000220897,4.605170186,100,1
3.814410177,3.813307032,0,1,2,0.001103753,-4.605170186,100,-1
3.815071479,3.813748436,0,1,2,0.00055142,4.605170186,100,1
3.815952537,3.814410177,0,0,0,0.000771477,-4.605170186,100,-1
3.814851094,3.813527759,0,1,2,-0.000992009,5.703782475,300,1
3.815952537,3.813307032,0,1,2,0.000441014,4.605170186,100,1
3.815732345,3.814630659,0,1,1,0.000550995,-4.605170186,100,-1
3.815732345,3.814630659,0,1,2,0,-4.605170186,100,-1
3.816612821,3.815512105,0,1,2,0.00088096,4.605170186,100,1
3.817712326,3.815732345,0,1,2,0.000660211,-4.605170186,100,-1
3.81815179,3.816392774,0,0,0,0.000549843,-4.605170186,100,-1
3.817492522,3.815512105,0,1,1,-0.000769865,-4.605170186,100,-1
3.817052768,3.815952537,0,1,2,0,4.605170186,100,1
3.818810624,3.816832818,0,0,0,0.001319406,-4.605170186,100,-1
3.817712326,3.816392774,0,0,0,-0.000769442,4.605170186,100,1
3.817272669,3.81617268,0,0,0,-0.000329942,-4.605170186,100,-1
3.816832818,3.814851094,0,0,0,-0.000880379,4.605170186,100,1
3.816612821,3.814189645,0,0,0,-0.00044048,-4.605170186,100,-1
3.815071479,3.813527759,0,1,1,-0.00110205,-4.605170186,100,-1
3.815071479,3.813527759,0,0,0,0,-4.605170186,100,-1
3.813969065,3.811760583,0,1,1,-0.001434483,-4.605170186,100,-1
3.813969065,3.811760583,0,0,0,0,-4.605170186,100,-1
3.812865434,3.811539467,0,1,2,-0.000662764,4.605170186,100,1
3.814189645,3.811318301,0,0,0,0.000552334,-4.605170186,100,-1
3.812865434,3.810875823,0,1,1,-0.00088388,4.605170186,100,1
3.812865434,3.810875823,0,0,0,0,4.605170186,100,1
3.81220267,3.81043315,0,0,0,-0.000552822,4.605170186,100,1
3.811760583,3.809103951,0,0,0,-0.000885152,4.605170186,100,1
3.809547214,3.809103951,0,1,1,-0.001107542,-4.605170186,100,-1
3.809547214,3.809103951,0,1,2,0,-4.605170186,100,-1
3.811097087,3.809547214,0,0,0,0.000996843,-4.605170186,100,-1
3.810211739,3.809103951,0,0,0,-0.000664452,4.605170186,100,1
3.80999028,3.807994935,0,0,0,-0.000664894,5.298317367,200,1
3.80999028,3.807772984,0,1,1,-0.000110859,5.298317367,200,1
3.80999028,3.807772984,0,1,2,0,-4.605170186,100,-1
3.810211739,3.807994935,0,1,1,0.000221705,-4.605170186,100,-1
3.810211739,3.807994935,0,1,2,0,-4.605170186,100,-1
3.811318301,3.808882247,0,1,2,0.000997064,-4.605170186,100,-1
3.811981651,3.80999028,0,1,2,0.000885446,-4.605170186,100,-1
3.813086258,3.811318301,0,1,1,0.001216209,-5.298317367,200,-1
3.813086258,3.811318301,0,1,2,0,-4.605170186,100,-1
